Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
New South Wales,Tibooburra Village Committee Incorporated,2020-21,"$40,467","$78,199",,,
New South Wales,Tibooburra Village Committee Incorporated,2021-22,"$40,361","$82,360",,,
New South Wales,Tibooburra Village Committee Incorporated,2022-23,"$64,485","$87,456",,,
New South Wales,Tibooburra Village Committee Incorporated,2023-24,"$93,464","$97,999",,,
New South Wales,Tweed Shire Council,2017-18,"$5,123,444","$10,372,365",,,
New South Wales,Tweed Shire Council,2018-19,"$5,382,879","$10,627,952",,,
New South Wales,Tweed Shire Council,2019-20,"$5,438,825","$10,803,559",,,
New South Wales,Tweed Shire Council,2020-21,"$5,685,588","$10,882,318",,,
New South Wales,Tweed Shire Council,2021-22,"$5,564,472","$11,356,062",,,
New South Wales,Tweed Shire Council,2022-23,"$8,903,993","$11,973,349",,,
New South Wales,Tweed Shire Council,2023-24,"$12,797,827","$13,265,187",,,
New South Wales,Upper Hunter Shire Council,2017-18,"$2,323,790","$4,695,483",,,
New South Wales,Upper Hunter Shire Council,2018-19,"$2,436,475","$4,958,737",,,
New South Wales,Upper Hunter Shire Council,2019-20,"$2,615,692","$5,146,732",,,
New South Wales,Upper Hunter Shire Council,2020-21,"$2,683,288","$5,215,694",,,
New South Wales,Upper Hunter Shire Council,2021-22,"$2,712,645","$5,562,299",,,
New South Wales,Upper Hunter Shire Council,2022-23,"$4,383,077","$6,030,290",,,
New South Wales,Upper Hunter Shire Council,2023-24,"$6,449,876","$6,818,695",,,
New South Wales,Upper Lachlan Shire Council,2017-18,"$2,198,157","$4,411,686",,,
New South Wales,Upper Lachlan Shire Council,2018-19,"$2,289,207","$4,675,400",,,
New South Wales,Upper Lachlan Shire Council,2019-20,"$2,474,612","$4,859,460",,,
New South Wales,Upper Lachlan Shire Council,2020-21,"$2,528,409","$4,931,369",,,
New South Wales,Upper Lachlan Shire Council,2021-22,"$2,574,109","$5,236,857",,,
New South Wales,Upper Lachlan Shire Council,2022-23,"$4,095,939","$5,673,005",,,
New South Wales,Upper Lachlan Shire Council,2023-24,"$6,067,668","$6,416,024",,,
New South Wales,Uralla Shire Council,2017-18,"$1,193,081","$2,410,578",,,
New South Wales,Uralla Shire Council,2018-19,"$1,250,858","$2,532,466",,,
New South Wales,Uralla Shire Council,2019-20,"$1,329,049","$2,632,785",,,
New South Wales,Uralla Shire Council,2020-21,"$1,382,107","$2,669,988",,,
New South Wales,Uralla Shire Council,2021-22,"$1,379,398","$2,867,224",,,
New South Wales,Uralla Shire Council,2022-23,"$2,288,142","$3,111,802",,,
New South Wales,Uralla Shire Council,2023-24,"$3,328,277","$3,523,626",,,
New South Wales,Wagga Wagga City Council,2017-18,"$4,956,776","$10,018,804",,,
New South Wales,Wagga Wagga City Council,2018-19,"$5,199,163","$10,267,967",,,
New South Wales,Wagga Wagga City Council,2019-20,"$5,256,259","$10,434,756",,,
New South Wales,Wagga Wagga City Council,2020-21,"$5,488,910","$10,514,702",,,
New South Wales,Wagga Wagga City Council,2021-22,"$5,382,345","$10,934,061",,,
New South Wales,Wagga Wagga City Council,2022-23,"$8,536,837","$11,563,533",,,
New South Wales,Wagga Wagga City Council,2023-24,"$12,361,442","$12,888,812",,,
New South Wales,Walcha Council,2017-18,"$1,055,460","$2,103,286",,,
New South Wales,Walcha Council,2018-19,"$1,091,357","$2,278,518",,,
New South Wales,Walcha Council,2019-20,"$1,231,148","$2,424,941",,,
New South Wales,Walcha Council,2020-21,"$1,265,639","$2,504,100",,,
New South Wales,Walcha Council,2021-22,"$1,326,590","$2,723,842",,,
New South Wales,Walcha Council,2022-23,"$2,149,075","$3,005,363",,,
New South Wales,Walcha Council,2023-24,"$3,215,586","$3,435,066",,,
New South Wales,Walgett Shire Council,2017-18,"$2,957,816","$5,979,301",,,
New South Wales,Walgett Shire Council,2018-19,"$3,102,889","$6,310,631",,,
New South Wales,Walgett Shire Council,2019-20,"$3,326,321","$6,569,735",,,
New South Wales,Walgett Shire Council,2020-21,"$3,437,708","$6,761,599",,,
New South Wales,Walgett Shire Council,2021-22,"$3,559,285","$7,216,558",,,
New South Wales,Walgett Shire Council,2022-23,"$5,623,120","$7,788,759",,,
New South Wales,Walgett Shire Council,2023-24,"$8,329,210","$8,837,681",,,
New South Wales,Warren Shire Council,2017-18,"$1,278,211","$2,583,751",,,
New South Wales,Warren Shire Council,2018-19,"$1,340,717","$2,808,654",,,
New South Wales,Warren Shire Council,2019-20,"$1,522,268","$2,961,639",,,
New South Wales,Warren Shire Council,2020-21,"$1,525,848","$3,038,546",,,
New South Wales,Warren Shire Council,2021-22,"$1,620,116","$3,266,757",,,
New South Wales,Warren Shire Council,2022-23,"$2,532,373","$3,576,912",,,
New South Wales,Warren Shire Council,2023-24,"$3,826,431","$4,053,984",,,
New South Wales,Warrumbungle Shire Council,2017-18,"$3,320,747","$6,715,741",,,
New South Wales,Warrumbungle Shire Council,2018-19,"$3,484,935","$7,043,623",,,
New South Wales,Warrumbungle Shire Council,2019-20,"$3,690,376","$7,266,533",,,
New South Wales,Warrumbungle Shire Council,2020-21,"$3,790,836","$7,406,011",,,
New South Wales,Warrumbungle Shire Council,2021-22,"$3,871,855","$7,824,439",,,
New South Wales,Warrumbungle Shire Council,2022-23,"$6,078,455","$8,407,673",,,
New South Wales,Warrumbungle Shire Council,2023-24,"$8,990,720","$9,456,032",,,
New South Wales,Waverley Council,2017-18,"$967,826","$1,923,724",,,
New South Wales,Waverley Council,2018-19,"$998,410","$1,960,182",,,
New South Wales,Waverley Council,2019-20,"$997,255","$2,000,131",,,
New South Wales,Waverley Council,2020-21,"$1,062,708","$2,006,839",,,
New South Wales,Waverley Council,2021-22,"$1,010,745","$2,091,835",,,
New South Wales,Waverley Council,2022-23,"$1,661,624","$2,180,837",,,
New South Wales,Waverley Council,2023-24,"$2,330,225","$2,356,212",,,
New South Wales,Weddin Shire Council,2017-18,"$1,233,421","$2,486,706",,,
New South Wales,Weddin Shire Council,2018-19,"$1,290,357","$2,682,124",,,
New South Wales,Weddin Shire Council,2019-20,"$1,443,289","$2,815,161",,,
New South Wales,Weddin Shire Council,2020-21,"$1,454,319","$2,881,352",,,
New South Wales,Weddin Shire Council,2021-22,"$1,528,437","$3,110,062",,,
New South Wales,Weddin Shire Council,2022-23,"$2,432,418","$3,411,809",,,
New South Wales,Weddin Shire Council,2023-24,"$3,649,977","$3,895,847",,,
New South Wales,Wentworth Shire Council,2017-18,"$2,939,363","$5,943,716",,,
New South Wales,Wentworth Shire Council,2018-19,"$3,084,389","$6,182,236",,,
New South Wales,Wentworth Shire Council,2019-20,"$3,212,430","$6,347,789",,,
New South Wales,Wentworth Shire Council,2020-21,"$3,323,376","$6,451,592",,,
New South Wales,Wentworth Shire Council,2021-22,"$3,350,134","$6,797,988",,,
New South Wales,Wentworth Shire Council,2022-23,"$5,301,868","$6,916,252",,,
New South Wales,Wentworth Shire Council,2023-24,"$7,383,485","$7,729,874",,,
New South Wales,Willoughby City Council,2017-18,"$1,081,119","$2,157,271",,,
New South Wales,Willoughby City Council,2018-19,"$1,119,558","$2,247,880",,,
New South Wales,Willoughby City Council,2019-20,"$1,169,990","$2,285,082",,,
New South Wales,Willoughby City Council,2020-21,"$1,181,753","$2,307,692",,,
New South Wales,Willoughby City Council,2021-22,"$1,205,545","$2,408,052",,,
New South Wales,Willoughby City Council,2022-23,"$1,848,591","$2,516,245",,,
New South Wales,Willoughby City Council,2023-24,"$2,688,869","$2,720,809",,,
New South Wales,Wingecarribee Shire Council,2017-18,"$2,425,471","$4,910,212",,,
New South Wales,Wingecarribee Shire Council,2018-19,"$2,547,984","$5,060,553",,,
New South Wales,Wingecarribee Shire Council,2019-20,"$2,605,617","$5,168,884",,,
New South Wales,Wingecarribee Shire Council,2020-21,"$2,717,331","$5,234,675",,,
New South Wales,Wingecarribee Shire Council,2021-22,"$2,696,491","$5,489,816",,,
New South Wales,Wingecarribee Shire Council,2022-23,"$4,296,496","$5,823,855",,,
New South Wales,Wingecarribee Shire Council,2023-24,"$6,226,447","$6,495,186",,,
New South Wales,Wollondilly Shire Council,2017-18,"$1,825,794","$3,681,362",,,
New South Wales,Wollondilly Shire Council,2018-19,"$1,910,321","$3,777,076",,,
New South Wales,Wollondilly Shire Council,2019-20,"$1,935,879","$3,824,555",,,
New South Wales,Wollondilly Shire Council,2020-21,"$2,002,137","$3,845,390",,,
New South Wales,Wollondilly Shire Council,2021-22,"$1,974,371","$3,993,873",,,
New South Wales,Wollondilly Shire Council,2022-23,"$3,106,004","$4,225,708",,,
New South Wales,Wollondilly Shire Council,2023-24,"$4,517,539","$4,721,535",,,
New South Wales,Wollongong City Council,2017-18,"$9,018,520","$18,218,126",,,
New South Wales,Wollongong City Council,2018-19,"$9,455,742","$18,585,782",,,
New South Wales,Wollongong City Council,2019-20,"$9,466,104","$18,806,810",,,
New South Wales,Wollongong City Council,2020-21,"$9,895,448","$18,883,700",,,
New South Wales,Wollongong City Council,2021-22,"$9,619,266","$19,604,393",,,
New South Wales,Wollongong City Council,2022-23,"$15,340,588","$20,591,269",,,
New South Wales,Wollongong City Council,2023-24,"$22,004,267","$22,891,344",,,
New South Wales,Yass Valley Council,2017-18,"$1,418,212","$2,869,849",,,
New South Wales,Yass Valley Council,2018-19,"$1,489,082","$3,025,275",,,
New South Wales,Yass Valley Council,2019-20,"$1,593,179","$3,137,766",,,
New South Wales,Yass Valley Council,2020-21,"$1,637,743","$3,178,571",,,
New South Wales,Yass Valley Council,2021-22,"$1,650,849","$3,442,365",,,
New South Wales,Yass Valley Council,2022-23,"$2,756,254","$3,741,967",,,
New South Wales,Yass Valley Council,2023-24,"$4,002,937","$4,219,179",,,
Northern Territory,Alice Springs Town Council,2017-18,"$835,786","$1,650,037",,,
Northern Territory,Alice Springs Town Council,2018-19,"$848,232","$1,651,288",,,
Northern Territory,Alice Springs Town Council,2019-20,"$819,465","$1,617,971",,,
Northern Territory,Alice Springs Town Council,2020-21,"$836,248","$1,592,761",,,
Northern Territory,Alice Springs Town Council,2021-22,"$805,167","$1,720,713",,,
Northern Territory,Alice Springs Town Council,2022-23,"$1,407,831","$1,781,242",,,
Northern Territory,Alice Springs Town Council,2023-24,"$1,890,814","$2,062,243",,,
Northern Territory,Barkly Regional Council,2017-18,"$1,113,081","$2,252,384",,,
Northern Territory,Barkly Regional Council,2018-19,"$1,149,242","$2,198,618",,,
Northern Territory,Barkly Regional Council,2019-20,"$1,054,062","$2,166,680",,,
Northern Territory,Barkly Regional Council,2020-21,"$1,149,902","$2,190,644",,,
Northern Territory,Barkly Regional Council,2021-22,"$1,097,359","$2,326,128",,,
Northern Territory,Barkly Regional Council,2022-23,"$1,884,109","$2,491,985",,,
Northern Territory,Barkly Regional Council,2023-24,"$2,631,566","$2,700,580",,,
Northern Territory,Belyuen Community Government Council,2017-18,"$29,583","$59,725",,,
Northern Territory,Belyuen Community Government Council,2018-19,"$30,688","$59,591",,,
Northern Territory,Belyuen Community Government Council,2019-20,"$29,464","$58,142",,,
Northern Territory,Belyuen Community Government Council,2020-21,"$30,007","$57,135",,,
Northern Territory,Belyuen Community Government Council,2021-22,"$28,857","$58,950",,,
Northern Territory,Belyuen Community Government Council,2022-23,"$46,281","$63,620",,,
Northern Territory,Belyuen Community Government Council,2023-24,"$67,643","$69,834",,,
Northern Territory,Central Desert Regional Council,2017-18,"$911,465","$1,783,851",,,
Northern Territory,Central Desert Regional Council,2018-19,"$915,248","$1,970,192",,,
Northern Territory,Central Desert Regional Council,2019-20,"$1,069,073","$2,112,135",,,
Northern Territory,Central Desert Regional Council,2020-21,"$1,089,314","$2,198,982",,,
Northern Territory,Central Desert Regional Council,2021-22,"$1,177,765","$2,274,099",,,
Northern Territory,Central Desert Regional Council,2022-23,"$1,685,656","$2,509,269",,,
Northern Territory,Central Desert Regional Council,2023-24,"$2,667,303","$2,765,551",,,
Northern Territory,City of Darwin,2018-19,"$1,832,278","$3,728,374",,,
Northern Territory,City of Darwin,2019-20,"$1,927,970","$3,747,977",,,
Northern Territory,City of Darwin,2020-21,"$1,900,389","$3,748,517",,,
Northern Territory,City of Darwin,2021-22,"$1,962,848","$3,925,050",,,
Northern Territory,City of Darwin,2022-23,"$3,016,032","$4,269,366",,,
Northern Territory,City of Darwin,2023-24,"$4,535,349","$4,751,111",,,
Northern Territory,City of Darwin ,2017-18,"$1,776,939","$3,568,094",,,
Northern Territory,City of Palmerston,2017-18,"$776,198","$1,615,592",,,
Northern Territory,City of Palmerston,2018-19,"$830,215","$1,699,034",,,
Northern Territory,City of Palmerston,2019-20,"$884,030","$1,835,757",,,
Northern Territory,City of Palmerston,2020-21,"$996,050","$1,854,408",,,
Northern Territory,City of Palmerston,2021-22,"$911,487","$2,011,544",,,
Northern Territory,City of Palmerston,2022-23,"$1,691,303","$2,233,663",,,
Northern Territory,City of Palmerston,2023-24,"$2,375,184","$2,463,927",,,
Northern Territory,Coomalie Community Government Council,2017-18,"$221,887","$470,269",,,
Northern Territory,Coomalie Community Government Council,2018-19,"$243,609","$509,867",,,
Northern Territory,Coomalie Community Government Council,2019-20,"$275,555","$538,383",,,
Northern Territory,Coomalie Community Government Council,2020-21,"$278,638","$544,276",,,
Northern Territory,Coomalie Community Government Council,2021-22,"$284,786","$584,163",,,
Northern Territory,Coomalie Community Government Council,2022-23,"$461,654","$625,884",,,
Northern Territory,Coomalie Community Government Council,2023-24,"$669,102","$695,007",,,
Northern Territory,East Arnhem Regional Council,2017-18,"$2,189,380","$4,293,778",,,
Northern Territory,East Arnhem Regional Council,2018-19,"$2,194,656","$4,486,585",,,
Northern Territory,East Arnhem Regional Council,2019-20,"$2,307,485","$4,615,988",,,
Northern Territory,East Arnhem Regional Council,2020-21,"$2,390,663","$4,632,610",,,
Northern Territory,East Arnhem Regional Council,2021-22,"$2,367,090","$4,864,364",,,
Northern Territory,East Arnhem Regional Council,2022-23,"$3,831,416","$5,324,616",,,
Northern Territory,East Arnhem Regional Council,2023-24,"$5,634,622","$5,797,936",,,
Northern Territory,Katherine Town Council,2017-18,"$598,566","$1,235,252",,,
Northern Territory,Katherine Town Council,2018-19,"$634,206","$1,232,173",,,
Northern Territory,Katherine Town Council,2019-20,"$608,630","$1,179,343",,,
Northern Territory,Katherine Town Council,2020-21,"$596,016","$1,159,522",,,
Northern Territory,Katherine Town Council,2021-22,"$598,959","$1,174,491",,,
Northern Territory,Katherine Town Council,2022-23,"$884,883","$1,210,851",,,
Northern Territory,Katherine Town Council,2023-24,"$1,284,426","$1,325,863",,,
Northern Territory,Litchfield Council,2017-18,"$1,519,358","$3,027,805",,,
Northern Territory,Litchfield Council,2018-19,"$1,565,042","$3,172,369",,,
Northern Territory,Litchfield Council,2019-20,"$1,655,393","$3,186,865",,,
Northern Territory,Litchfield Council,2020-21,"$1,616,947","$3,210,686",,,
Northern Territory,Litchfield Council,2021-22,"$1,704,034","$3,374,705",,,
Northern Territory,Litchfield Council,2022-23,"$2,573,927","$3,620,971",,,
Northern Territory,Litchfield Council,2023-24,"$3,863,668","$4,042,447",,,
Northern Territory,Local Government Association of the Northern Territory Inc,2017-18,"$748,156","$1,519,809",,,
Northern Territory,Local Government Association of the Northern Territory Inc,2018-19,"$788,186","$1,580,256",,,
Northern Territory,Local Government Association of the Northern Territory Inc,2019-20,"$821,861","$1,587,181",,,
Northern Territory,Local Government Association of the Northern Territory Inc,2020-21,"$812,735","$1,594,166",,,
Northern Territory,Local Government Association of the Northern Territory Inc,2021-22,"$838,917","$1,657,929",,,
Northern Territory,Local Government Association of the Northern Territory Inc,2022-23,"$1,263,386","$1,849,934",,,
Northern Territory,Local Government Association of the Northern Territory Inc,2023-24,"$1,981,821","$2,095,438",,,
Northern Territory,MacDonnell Regional Council,2017-18,"$1,389,247","$2,739,871",,,
Northern Territory,MacDonnell Regional Council,2018-19,"$1,402,541","$2,835,423",,,
Northern Territory,MacDonnell Regional Council,2019-20,"$1,447,345","$2,909,136",,,
Northern Territory,MacDonnell Regional Council,2020-21,"$1,517,319","$2,961,591",,,
Northern Territory,MacDonnell Regional Council,2021-22,"$1,527,284","$3,121,930",,,
Northern Territory,MacDonnell Regional Council,2022-23,"$2,447,753","$3,488,760",,,
Northern Territory,MacDonnell Regional Council,2023-24,"$3,698,971","$3,807,644",,,
Northern Territory,Roper Gulf Regional Council,2017-18,"$1,468,325","$2,902,427",,,
Northern Territory,Roper Gulf Regional Council,2018-19,"$1,485,860","$3,099,449",,,
Northern Territory,Roper Gulf Regional Council,2019-20,"$1,628,870","$3,129,112",,,
Northern Territory,Roper Gulf Regional Council,2020-21,"$1,557,998","$3,136,693",,,
Northern Territory,Roper Gulf Regional Council,2021-22,"$1,669,459","$3,276,665",,,
Northern Territory,Roper Gulf Regional Council,2022-23,"$2,467,434","$3,571,458",,,
Northern Territory,Roper Gulf Regional Council,2023-24,"$3,783,526","$3,923,825",,,
Northern Territory,Tiwi Islands Regional Council,2017-18,"$706,913","$1,402,120",,,
Northern Territory,Tiwi Islands Regional Council,2018-19,"$722,516","$1,411,097",,,
Northern Territory,Tiwi Islands Regional Council,2019-20,"$705,945","$1,389,630",,,
Northern Territory,Tiwi Islands Regional Council,2020-21,"$718,786","$1,378,676",,,
Northern Territory,Tiwi Islands Regional Council,2021-22,"$704,011","$1,434,157",,,
Northern Territory,Tiwi Islands Regional Council,2022-23,"$1,124,027","$1,551,713",,,
Northern Territory,Tiwi Islands Regional Council,2023-24,"$1,653,504","$1,725,590",,,
Northern Territory,Victoria Daly Regional Council,2017-18,"$603,879","$1,208,288",,,
Northern Territory,Victoria Daly Regional Council,2018-19,"$621,251","$1,202,055",,,
Northern Territory,Victoria Daly Regional Council,2019-20,"$592,738","$1,175,121",,,
Northern Territory,Victoria Daly Regional Council,2020-21,"$610,038","$1,176,867",,,
Northern Territory,Victoria Daly Regional Council,2021-22,"$603,308","$1,245,751",,,
Northern Territory,Victoria Daly Regional Council,2022-23,"$988,051","$1,358,984",,,
Northern Territory,Victoria Daly Regional Council,2023-24,"$1,445,791","$1,542,262",,,
Northern Territory,Wagait Shire Council,2017-18,"$31,949","$63,143",,,
Northern Territory,Wagait Shire Council,2018-19,"$32,654","$67,724",,,
Northern Territory,Wagait Shire Council,2019-20,"$36,073","$67,292",,,
Northern Territory,Wagait Shire Council,2020-21,"$33,013","$67,372",,,
Northern Territory,Wagait Shire Council,2021-22,"$36,711","$71,741",,,
Northern Territory,Wagait Shire Council,2022-23,"$53,980","$79,103",,,
Northern Territory,Wagait Shire Council,2023-24,"$84,477","$87,486",,,
Northern Territory,West Arnhem Regional Council,2017-18,"$1,207,461","$2,424,746",,,
Northern Territory,West Arnhem Regional Council,2018-19,"$1,244,380","$2,459,872",,,
Northern Territory,West Arnhem Regional Council,2019-20,"$1,234,842","$2,496,610",,,
Northern Territory,West Arnhem Regional Council,2020-21,"$1,316,367","$2,495,488",,,
Northern Territory,West Arnhem Regional Council,2021-22,"$1,251,256","$2,616,681",,,
Northern Territory,West Arnhem Regional Council,2022-23,"$2,098,292","$2,759,297",,,
Northern Territory,West Arnhem Regional Council,2023-24,"$2,926,049","$3,230,713",,,
Northern Territory,West Daly Regional Council,2017-18,"$708,357","$1,405,307",,,
Northern Territory,West Daly Regional Council,2018-19,"$723,106","$1,434,239",,,
Northern Territory,West Daly Regional Council,2019-20,"$726,663","$1,515,323",,,
Northern Territory,West Daly Regional Council,2020-21,"$827,280","$1,516,495",,,
Northern Territory,West Daly Regional Council,2021-22,"$733,866","$1,597,322",,,
Northern Territory,West Daly Regional Council,2022-23,"$1,328,423","$1,745,072",,,
Northern Territory,West Daly Regional Council,2023-24,"$1,857,631","$1,918,865",,,
Queensland,Aurukun Shire Council,2017-18,"$958,161","$1,978,631",,,
Queensland,Aurukun Shire Council,2018-19,"$1,028,163","$2,127,152",,,
Queensland,Aurukun Shire Council,2019-20,"$1,141,380","$2,214,162",,,
Queensland,Aurukun Shire Council,2020-21,"$1,142,545","$2,198,467",,,
Queensland,Aurukun Shire Council,2021-22,"$1,140,391","$2,305,682",,,
Queensland,Aurukun Shire Council,2022-23,"$1,817,840","$2,933,428",,,
Queensland,Aurukun Shire Council,2023-24,"$3,689,378","$3,818,420",,,
Queensland,Balonne Shire Council,2017-18,"$2,580,674","$5,277,802",,,
Queensland,Balonne Shire Council,2018-19,"$2,741,065","$5,588,987",,,
Queensland,Balonne Shire Council,2019-20,"$2,957,096","$5,792,974",,,
Queensland,Balonne Shire Council,2020-21,"$3,018,006","$5,811,707",,,
Queensland,Balonne Shire Council,2021-22,"$3,012,846","$6,216,535",,,
Queensland,Balonne Shire Council,2022-23,"$4,983,455","$8,210,168",,,
Queensland,Balonne Shire Council,2023-24,"$10,683,041","$11,056,459",,,
Queensland,Banana Shire Council,2017-18,"$3,958,613","$7,557,409",,,
Queensland,Banana Shire Council,2018-19,"$3,925,317","$7,480,564",,,
Queensland,Banana Shire Council,2019-20,"$3,691,273","$7,396,362",,,
Queensland,Banana Shire Council,2020-21,"$3,942,334","$7,351,419",,,
Queensland,Banana Shire Council,2021-22,"$3,674,643","$7,398,149",,,
Queensland,Banana Shire Council,2022-23,"$5,786,646","$9,642,294",,,
Queensland,Banana Shire Council,2023-24,"$12,367,914","$12,811,713",,,
Queensland,Barcaldine Regional Council,2017-18,"$3,532,975","$7,110,907",,,
Queensland,Barcaldine Regional Council,2018-19,"$3,693,595","$7,346,042",,,
Queensland,Barcaldine Regional Council,2019-20,"$3,792,581","$7,514,169",,,
Queensland,Barcaldine Regional Council,2020-21,"$3,961,060","$7,457,976",,,
Queensland,Barcaldine Regional Council,2021-22,"$3,771,861","$7,918,969",,,
Queensland,Barcaldine Regional Council,2022-23,"$6,453,561","$9,561,463",,,
Queensland,Barcaldine Regional Council,2023-24,"$11,354,121","$11,784,571",,,
Queensland,Barcoo Shire Council,2017-18,"$1,895,014","$3,723,263",,,
Queensland,Barcoo Shire Council,2018-19,"$1,934,016","$3,794,334",,,
Queensland,Barcoo Shire Council,2019-20,"$1,931,657","$3,828,645",,,
Queensland,Barcoo Shire Council,2020-21,"$2,018,969","$3,803,407",,,
Queensland,Barcoo Shire Council,2021-22,"$1,924,481","$4,070,388",,,
Queensland,Barcoo Shire Council,2022-23,"$3,338,983","$5,108,658",,,
Queensland,Barcoo Shire Council,2023-24,"$6,239,430","$6,469,330",,,
Queensland,Blackall-Tambo Regional Council,2017-18,"$1,981,763","$3,976,092",,,
Queensland,Blackall-Tambo Regional Council,2018-19,"$2,065,192","$4,139,377",,,
Queensland,Blackall-Tambo Regional Council,2019-20,"$2,153,715","$4,237,011",,,
Queensland,Blackall-Tambo Regional Council,2020-21,"$2,217,157","$4,208,187",,,
Queensland,Blackall-Tambo Regional Council,2021-22,"$2,147,238","$4,483,010",,,
Queensland,Blackall-Tambo Regional Council,2022-23,"$3,633,694","$5,961,042",,,
Queensland,Blackall-Tambo Regional Council,2023-24,"$7,692,232","$7,962,748",,,
Queensland,Boulia Shire Council,2017-18,"$1,525,234","$3,005,592",,,
Queensland,Boulia Shire Council,2018-19,"$1,561,225","$3,049,503",,,
Queensland,Boulia Shire Council,2019-20,"$1,545,350","$3,128,502",,,
Queensland,Boulia Shire Council,2020-21,"$1,684,982","$3,106,124",,,
Queensland,Boulia Shire Council,2021-22,"$1,532,671","$3,314,088",,,
Queensland,Boulia Shire Council,2022-23,"$2,771,986","$4,820,490",,,
Queensland,Boulia Shire Council,2023-24,"$6,550,461","$6,768,813",,,
Queensland,Brisbane City Council,2017-18,"$19,807,313","$39,625,680",,,
Queensland,Brisbane City Council,2018-19,"$20,576,527","$41,364,624",,,
Queensland,Brisbane City Council,2019-20,"$21,582,559","$42,529,232",,,
Queensland,Brisbane City Council,2020-21,"$22,284,779","$43,279,800",,,
Queensland,Brisbane City Council,2021-22,"$22,625,969","$45,746,425",,,
Queensland,Brisbane City Council,2022-23,"$35,917,485","$45,547,846",,,
Queensland,Brisbane City Council,2023-24,"$44,637,701","$46,686,532",,,
Queensland,Bulloo Shire Council,2017-18,"$3,107,987","$6,383,741",,,
Queensland,Bulloo Shire Council,2018-19,"$3,316,211","$6,794,777",,,
Queensland,Bulloo Shire Council,2019-20,"$3,612,291","$7,056,624",,,
Queensland,Bulloo Shire Council,2020-21,"$3,666,750","$7,408,255",,,
Queensland,Bulloo Shire Council,2021-22,"$4,038,125","$7,942,421",,,
Queensland,Bulloo Shire Council,2022-23,"$6,080,888","$8,217,971",,,
Queensland,Bulloo Shire Council,2023-24,"$8,481,855","$8,843,899",,,
Queensland,Bundaberg Regional Council,2017-18,"$3,955,775","$8,067,432",,,
Queensland,Bundaberg Regional Council,2018-19,"$4,189,509","$8,126,639",,,
Queensland,Bundaberg Regional Council,2019-20,"$4,087,763","$8,424,588",,,
Queensland,Bundaberg Regional Council,2020-21,"$4,614,696","$8,404,791",,,
Queensland,Bundaberg Regional Council,2021-22,"$4,085,294","$8,972,759",,,
Queensland,Bundaberg Regional Council,2022-23,"$7,598,615","$7,598,623",,,
Queensland,Bundaberg Regional Council,2023-24,"$5,410,434","$5,741,945",,,
Queensland,Burdekin Shire Council,2017-18,"$1,759,182","$3,602,446",,,
Queensland,Burdekin Shire Council,2018-19,"$1,871,182","$3,544,491",,,
Queensland,Burdekin Shire Council,2019-20,"$1,737,491","$3,505,538",,,
Queensland,Burdekin Shire Council,2020-21,"$1,881,806","$3,476,903",,,
Queensland,Burdekin Shire Council,2021-22,"$1,720,405","$3,718,753",,,
Queensland,Burdekin Shire Council,2022-23,"$3,109,855","$5,317,828",,,
Queensland,Burdekin Shire Council,2023-24,"$7,224,605","$7,466,543",,,
Queensland,Burke Shire Council,2017-18,"$1,531,199","$2,996,245",,,
Queensland,Burke Shire Council,2018-19,"$1,556,781","$3,057,985",,,
Queensland,Burke Shire Council,2019-20,"$1,558,956","$3,115,756",,,
Queensland,Burke Shire Council,2020-21,"$1,657,501","$3,083,265",,,
Queensland,Burke Shire Council,2021-22,"$1,538,907","$3,307,555",,,
Queensland,Burke Shire Council,2022-23,"$2,755,724","$4,754,250",,,
Queensland,Burke Shire Council,2023-24,"$6,330,715","$6,544,188",,,
Queensland,Cairns Regional Council,2017-18,"$2,885,079","$5,750,540",,,
Queensland,Cairns Regional Council,2018-19,"$2,985,907","$5,965,742",,,
Queensland,Cairns Regional Council,2019-20,"$3,093,618","$6,060,318",,,
Queensland,Cairns Regional Council,2020-21,"$3,155,877","$6,115,956",,,
Queensland,Cairns Regional Council,2021-22,"$3,189,328","$6,440,319",,,
Queensland,Cairns Regional Council,2022-23,"$5,048,159","$6,124,705",,,
Queensland,Cairns Regional Council,2023-24,"$5,631,035","$5,905,259",,,
Queensland,Carpentaria Shire Council,2017-18,"$2,369,477","$4,667,108",,,
Queensland,Carpentaria Shire Council,2018-19,"$2,424,539","$4,875,742",,,
Queensland,Carpentaria Shire Council,2019-20,"$2,545,356","$5,078,529",,,
Queensland,Carpentaria Shire Council,2020-21,"$2,696,484","$5,312,282",,,
Queensland,Carpentaria Shire Council,2021-22,"$2,822,718","$5,691,772",,,
Queensland,Carpentaria Shire Council,2022-23,"$4,466,824","$7,112,536",,,
Queensland,Carpentaria Shire Council,2023-24,"$8,701,550","$9,019,958",,,
Queensland,Cassowary Coast Regional Council,2017-18,"$1,700,182","$3,472,436",,,
Queensland,Cassowary Coast Regional Council,2018-19,"$1,803,456","$3,682,378",,,
Queensland,Cassowary Coast Regional Council,2019-20,"$1,950,957","$3,812,584",,,
Queensland,Cassowary Coast Regional Council,2020-21,"$1,981,230","$3,853,657",,,
Queensland,Cassowary Coast Regional Council,2021-22,"$2,019,432","$4,137,414",,,
Queensland,Cassowary Coast Regional Council,2022-23,"$3,294,685","$4,827,390",,,
